id,name,brand,category,description,price,original_price,stock_quantity,gender,season,color,sizes,features,rating,review_count,is_active,discount_rate
2.0,Salomon Pro Koşu Boost,Salomon,Koşu Ayakkabısı,"Salomon Pro Koşu Boost, Salomon tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: yüksek koşu verimi, karbon plaka. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",1200.0,1200.0,8,kadın,4 mevsim,Gri,"['40', '41', '42', '45']","['yüksek koşu verimi', 'karbon plaka']",3,194.0,True,0.0
3.0,Skechers Speed Spor X,Skechers,Spor Ayakkabı,"Skechers Speed Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, ortopedik, su geçirmez. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",100.0,550.0,20,erkek,4 mevsim,Beyaz,"['40', '41', '42', '43']","['hafif', 'ortopedik', 'su geçirmez', 'nefes alan', 'kaymaz taban']",4,443.0,True,81.82
4.0,Puma Pro Spor 3.0,Puma,Spor Şort,"Puma Pro Spor 3.0, Puma tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: dar kesim, hızlı kuruyan, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",210.0,210.0,163,unisex,yazlık,Kırmızı,"['L', 'M', 'S', 'XL', 'XS', 'XXL']","['dar kesim', 'hızlı kuruyan', 'esnek bel']",4,112.0,True,0.0
5.0,Adidas Ultra Spor Max,Adidas,Spor Şort,"Adidas Ultra Spor Max, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: fermuarlı cep, hafif, geniş kesim. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",200.0,200.0,137,erkek,yazlık,Gri,"['L', 'M', 'XL', 'XS', 'XXL']","['fermuarlı cep', 'hafif', 'geniş kesim', 'hızlı kuruyan']",3,299.0,True,0.0
6.0,Adidas Air Koşu X,Adidas,Koşu Ayakkabısı,"Adidas Air Koşu X, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: karbon plaka, geniş burun. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2722.79,3180.0,152,unisex,yazlık,Yeşil,"['36', '37', '38', '40', '41', '44']","['karbon plaka', 'geniş burun']",5,270.0,True,14.38
7.0,Adidas Pro Spor Plus,Adidas,Spor Şort,"Adidas Pro Spor Plus, Adidas tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hafif, esnek bel, hızlı kuruyan. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",710.0,960.0,155,unisex,yazlık,Beyaz,"['M', 'XL', 'XS', 'XXL']","['hafif', 'esnek bel', 'hızlı kuruyan']",3,191.0,True,26.04
8.0,Skechers Profesyonel Spor X,Skechers,Spor Şort,"Skechers Profesyonel Spor X, Skechers tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: hızlı kuruyan, fermuarlı cep, esnek bel. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",670.0,670.0,136,erkek,yazlık,Turuncu,"['L', 'M', 'S', 'XL', 'XS', 'XXL']","['hızlı kuruyan', 'fermuarlı cep', 'esnek bel', 'hafif']",4,65.0,True,0.0
9.0,Asics Elite Spor Lite,Asics,Spor Tişört,"Asics Elite Spor Lite, Asics tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: elastik, reflektif bant, hafif. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",440.0,440.0,58,erkek,yazlık,Beyaz,"['S', 'XL', 'XS', 'XXL']","['elastik', 'reflektif bant', 'hafif', 'nem emici']",4,3.0,True,0.0
10.0,Under Armour Profesyonel Spor Max,Under Armour,Spor Ayakkabı,"Under Armour Profesyonel Spor Max, Under Armour tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: ortopedik, kaymaz taban, yüksek taban. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",2610.0,2610.0,147,unisex,yazlık,Lacivert,"['36', '37', '38', '39', '41', '42', '44']","['ortopedik', 'kaymaz taban', 'yüksek taban']",3,401.0,True,0.0
11.0,Reebok Elite Koşu Boost,Reebok,Koşu Ayakkabısı,"Reebok Elite Koşu Boost, Reebok tarafından üretilen yüksek performanslı bir üründür. Öne çıkan özellikleri: geniş burun, yüksek koşu verimi. Sporseverler ve günlük kullanım için idealdir. Premium malzeme kullanımıyla uzun ömürlü dayanıklılık sunar.",3780.0,3780.0,27,erkek,yazlık,Yeşil,"['36', '37', '38', '39', '42', '43', '44', '45']","['geniş burun', 'yüksek koşu verimi']",3,97.0,True,0.0
